       Step     Time          Energy         fmax
MDMin:    0 17:16:24    -8958.487273        2.1013
MDMin:    1 17:16:30    -8963.839101        1.9359
MDMin:    2 17:16:35    -8976.707176        1.4097
MDMin:    3 17:16:41    -8991.933383        0.9315
MDMin:    4 17:16:46    -9007.111925        0.6525
MDMin:    5 17:16:52    -9020.838363        1.1471
MDMin:    6 17:16:57    -9019.861145        4.0493
MDMin:    7 17:17:03    -9028.809874        1.6792
MDMin:    8 17:17:09    -9030.279815        2.4054
MDMin:    9 17:17:14    -9033.220090        1.0429
MDMin:   10 17:17:20    -9035.201649        1.2813
MDMin:   11 17:17:25    -9036.764627        0.3855
MDMin:   12 17:17:31    -9038.545501        0.4036
MDMin:   13 17:17:36    -9040.986730        0.4862
MDMin:   14 17:17:42    -9043.060748        1.2521
MDMin:   15 17:17:47    -9044.161475        0.9597
MDMin:   16 17:17:53    -9044.800674        0.4449
MDMin:   17 17:17:58    -9045.738414        0.5395
MDMin:   18 17:18:04    -9046.678601        0.6341
MDMin:   19 17:18:10    -9047.409080        0.7017
MDMin:   20 17:18:15    -9048.018531        0.3581
MDMin:   21 17:18:21    -9048.640223        0.3893
MDMin:   22 17:18:26    -9049.331261        0.4994
MDMin:   23 17:18:32    -9049.842035        0.6524
MDMin:   24 17:18:37    -9050.281152        0.2769
MDMin:   25 17:18:43    -9050.690028        0.2836
MDMin:   26 17:18:48    -9051.186831        0.3800
MDMin:   27 17:18:54    -9051.546853        0.5741
MDMin:   28 17:18:59    -9051.865845        0.2374
MDMin:   29 17:19:05    -9052.124443        0.2180
MDMin:   30 17:19:10    -9052.455622        0.2847
MDMin:   31 17:19:16    -9052.714740        0.4552
MDMin:   32 17:19:21    -9052.932544        0.2455
MDMin:   33 17:19:27    -9053.090582        0.1680
MDMin:   34 17:19:33    -9053.299035        0.1956
MDMin:   35 17:19:38    -9053.500658        0.3244
MDMin:   36 17:19:44    -9053.639659        0.3032
MDMin:   37 17:19:49    -9053.750356        0.0947
MDMin:   38 17:19:55    -9053.887946        0.0946
MDMin:   39 17:20:00    -9054.074156        0.1590
MDMin:   40 17:20:06    -9054.191513        0.3654
MDMin:   41 17:20:11    -9054.305541        0.1336
MDMin:   42 17:20:17    -9054.360430        0.0718
MDMin:   43 17:20:23    -9054.448118        0.0892
MDMin:   44 17:20:28    -9054.550286        0.1649
MDMin:   45 17:20:34    -9054.596216        0.2616
MDMin:   46 17:20:39    -9054.657334        0.0661
MDMin:   47 17:20:45    -9054.714686        0.0800
MDMin:   48 17:20:51    -9054.775828        0.1478
MDMin:   49 17:20:56    -9054.808065        0.1918
MDMin:   50 17:21:02    -9054.841296        0.0455
       Step     Time          Energy         fmax
MDMin:    0 17:52:34    -9054.841296        0.0455
       Step     Time          Energy         fmax
MDMin:    0 14:02:05     9641.545136        0.3682
MDMin:    1 14:02:09     9640.188363        0.2753
MDMin:    2 14:02:13     9637.923079        0.2095
MDMin:    3 14:02:17     9636.372688        0.2025
MDMin:    4 14:02:21     9635.770104        0.3721
MDMin:    5 14:02:25     9635.334929        0.1113
MDMin:    6 14:02:29     9635.046844        0.0999
MDMin:    7 14:02:33     9634.837526        0.1378
MDMin:    8 14:02:36     9634.713327        0.1786
MDMin:    9 14:02:40     9634.635203        0.0983
MDMin:   10 14:02:44     9634.558441        0.1316
MDMin:   11 14:02:48     9634.495076        0.2212
MDMin:   12 14:02:52     9634.449034        0.1515
MDMin:   13 14:02:56     9634.417276        0.0464
       Step     Time          Energy         fmax
MDMin:    0 14:37:36     9634.417276        0.0464
