       Step     Time          Energy         fmax
MDMin:    0 22:00:37    96278.705453        1.1030
MDMin:    1 22:00:55    96273.714865        0.9575
MDMin:    2 22:01:13    96263.975453        0.5380
MDMin:    3 22:01:32    96254.782054        0.3097
MDMin:    4 22:01:50    96248.517154        0.2375
MDMin:    5 22:02:08    96245.683698        0.2201
MDMin:    6 22:02:27    96244.411103        0.1640
MDMin:    7 22:02:45    96242.468669        0.1439
MDMin:    8 22:03:04    96240.268412        0.1245
MDMin:    9 22:03:22    96238.311630        0.1549
MDMin:   10 22:03:40    96236.902469        0.1257
MDMin:   11 22:03:59    96235.823337        0.1050
MDMin:   12 22:04:17    96234.566963        0.0883
MDMin:   13 22:04:35    96233.078995        0.0970
MDMin:   14 22:04:53    96231.907654        0.1296
MDMin:   15 22:05:12    96231.009192        0.0858
MDMin:   16 22:05:30    96230.283796        0.0705
MDMin:   17 22:05:48    96229.338904        0.0769
MDMin:   18 22:06:07    96228.332146        0.0865
MDMin:   19 22:06:25    96227.614857        0.1055
MDMin:   20 22:06:43    96227.040861        0.0599
MDMin:   21 22:07:01    96226.428410        0.0615
MDMin:   22 22:07:19    96225.601005        0.0570
MDMin:   23 22:07:38    96224.816714        0.1214
MDMin:   24 22:07:56    96224.315257        0.1210
MDMin:   25 22:08:14    96223.957389        0.0500
MDMin:   26 22:08:32    96223.479737        0.0485
       Step     Time          Energy         fmax
MDMin:    0 23:16:37    96223.479737        0.0485
       Step     Time          Energy         fmax
MDMin:    0 15:31:35    41596.237572        0.1445
MDMin:    1 15:32:00    41595.722906        0.1337
MDMin:    2 15:32:25    41594.370465        0.1090
MDMin:    3 15:32:50    41592.425253        0.0945
MDMin:    4 15:33:17    41590.034693        0.0795
MDMin:    5 15:33:42    41587.439455        0.1102
MDMin:    6 15:34:08    41585.969505        0.3217
MDMin:    7 15:34:34    41584.759137        0.0681
MDMin:    8 15:35:05    41583.914427        0.0630
MDMin:    9 15:35:49    41582.845439        0.0683
MDMin:   10 15:36:26    41581.782488        0.0977
MDMin:   11 15:37:05    41581.126876        0.1150
MDMin:   12 15:37:45    41580.662511        0.0509
MDMin:   13 15:38:09    41580.126080        0.0480
       Step     Time          Energy         fmax
MDMin:    0 15:42:05    41580.126080        0.0480
