       Step     Time          Energy         fmax
MDMin:    0 17:16:22    -5833.143460        2.1013
MDMin:    1 17:16:26    -5837.482801        1.9359
MDMin:    2 17:16:30    -5847.958876        1.4102
MDMin:    3 17:16:33    -5860.342904        0.9322
MDMin:    4 17:16:37    -5872.449220        0.6483
MDMin:    5 17:16:41    -5882.725671        1.2804
MDMin:    6 17:16:45    -5880.348333        3.8549
MDMin:    7 17:16:48    -5887.362589        1.6332
MDMin:    8 17:16:52    -5887.940600        2.3607
MDMin:    9 17:16:56    -5890.420036        0.9739
MDMin:   10 17:17:00    -5891.552668        1.3585
MDMin:   11 17:17:03    -5892.508695        0.5627
MDMin:   12 17:17:07    -5893.585277        0.5380
MDMin:   13 17:17:11    -5894.546974        0.8382
MDMin:   14 17:17:15    -5895.250215        0.6141
MDMin:   15 17:17:18    -5895.785927        0.3688
MDMin:   16 17:17:22    -5896.398535        0.3397
MDMin:   17 17:17:26    -5897.056257        0.5669
MDMin:   18 17:17:30    -5897.456023        0.6521
MDMin:   19 17:17:33    -5897.812716        0.1682
MDMin:   20 17:17:37    -5898.186330        0.1564
MDMin:   21 17:17:41    -5898.699318        0.2139
MDMin:   22 17:17:44    -5899.127442        0.5005
MDMin:   23 17:17:48    -5899.287435        0.5023
MDMin:   24 17:17:52    -5899.445244        0.2217
MDMin:   25 17:17:56    -5899.601803        0.2644
MDMin:   26 17:17:59    -5899.724195        0.2740
MDMin:   27 17:18:03    -5899.826573        0.1600
MDMin:   28 17:18:07    -5899.925113        0.1589
MDMin:   29 17:18:10    -5900.028912        0.2071
MDMin:   30 17:18:14    -5900.105552        0.2300
MDMin:   31 17:18:18    -5900.171311        0.1115
MDMin:   32 17:18:22    -5900.233745        0.1112
MDMin:   33 17:18:25    -5900.304537        0.1591
MDMin:   34 17:18:29    -5900.351827        0.1984
MDMin:   35 17:18:33    -5900.395716        0.0709
MDMin:   36 17:18:36    -5900.436009        0.0733
MDMin:   37 17:18:40    -5900.486103        0.1144
MDMin:   38 17:18:44    -5900.514543        0.1767
MDMin:   39 17:18:48    -5900.546048        0.0412
       Step     Time          Energy         fmax
MDMin:    0 17:52:32    -5900.546048        0.0412
       Step     Time          Energy         fmax
MDMin:    0 14:02:04     6349.949479        0.3826
MDMin:    1 14:02:07     6349.085828        0.2797
MDMin:    2 14:02:09     6347.706723        0.2105
MDMin:    3 14:02:12     6346.787567        0.1887
MDMin:    4 14:02:15     6346.416943        0.2872
MDMin:    5 14:02:18     6346.167218        0.0959
MDMin:    6 14:02:20     6346.007830        0.0790
MDMin:    7 14:02:23     6345.904593        0.0828
MDMin:    8 14:02:26     6345.844132        0.0764
MDMin:    9 14:02:29     6345.805674        0.0596
MDMin:   10 14:02:31     6345.770421        0.0695
MDMin:   11 14:02:34     6345.747132        0.1163
MDMin:   12 14:02:37     6345.729651        0.0509
MDMin:   13 14:02:39     6345.717834        0.0357
       Step     Time          Energy         fmax
MDMin:    0 14:37:35     6345.717834        0.0357
