       Step     Time          Energy         fmax
MDMin:    0 19:55:12    -2783.447566        2.0629
MDMin:    1 19:55:21    -2802.044802        1.8393
MDMin:    2 19:55:30    -2844.963044        1.0869
MDMin:    3 19:55:39    -2890.172090        0.7200
MDMin:    4 19:55:48    -2930.288655        0.8187
MDMin:    5 19:55:57    -2963.387721        1.2345
MDMin:    6 19:56:06    -2976.096607        1.8280
MDMin:    7 19:56:15    -2983.760590        1.4313
MDMin:    8 19:56:24    -2993.674763        0.3919
MDMin:    9 19:56:33    -3002.246871        0.4046
MDMin:   10 19:56:42    -3011.390820        0.4307
MDMin:   11 19:56:51    -3018.674853        0.6544
MDMin:   12 19:57:00    -3024.287620        0.3456
MDMin:   13 19:57:09    -3029.371045        0.3382
MDMin:   14 19:57:18    -3035.573511        0.3436
MDMin:   15 19:57:27    -3041.720629        0.5549
MDMin:   16 19:57:36    -3046.245787        0.5142
MDMin:   17 19:57:45    -3049.801065        0.2735
MDMin:   18 19:57:54    -3053.766279        0.2416
MDMin:   19 19:58:03    -3058.796344        0.3463
MDMin:   20 19:58:12    -3063.157091        0.5625
MDMin:   21 19:58:21    -3066.269597        0.3863
MDMin:   22 19:58:30    -3068.502438        0.1841
MDMin:   23 19:58:39    -3071.468549        0.2017
MDMin:   24 19:58:48    -3075.305823        0.2810
MDMin:   25 19:58:57    -3078.494089        0.5269
MDMin:   26 19:59:06    -3080.706999        0.3434
MDMin:   27 19:59:15    -3082.125550        0.1445
MDMin:   28 19:59:24    -3084.168036        0.1329
MDMin:   29 19:59:33    -3086.984112        0.1671
MDMin:   30 19:59:42    -3089.829286        0.3562
MDMin:   31 19:59:51    -3091.064335        0.4869
MDMin:   32 20:00:00    -3092.168082        0.2307
MDMin:   33 20:00:09    -3093.402358        0.2299
MDMin:   34 20:00:18    -3094.525584        0.1988
MDMin:   35 20:00:27    -3095.602859        0.1915
MDMin:   36 20:00:36    -3096.653124        0.2020
MDMin:   37 20:00:45    -3097.621116        0.2014
MDMin:   38 20:00:54    -3098.490013        0.1885
MDMin:   39 20:01:03    -3099.303682        0.1662
MDMin:   40 20:01:12    -3100.106829        0.1767
MDMin:   41 20:01:21    -3100.868967        0.1806
MDMin:   42 20:01:30    -3101.551704        0.1793
MDMin:   43 20:01:39    -3102.173884        0.1484
MDMin:   44 20:01:48    -3102.783665        0.1520
MDMin:   45 20:01:57    -3103.382356        0.1554
MDMin:   46 20:02:06    -3103.925918        0.1675
MDMin:   47 20:02:15    -3104.411070        0.1347
MDMin:   48 20:02:24    -3104.873984        0.1305
MDMin:   49 20:02:33    -3105.340203        0.1295
MDMin:   50 20:02:42    -3105.776967        0.1505
MDMin:   51 20:02:51    -3106.163012        0.1244
MDMin:   52 20:03:00    -3106.518310        0.1135
MDMin:   53 20:03:09    -3106.877314        0.1060
MDMin:   54 20:03:18    -3107.229168        0.1291
MDMin:   55 20:03:27    -3107.541740        0.1152
MDMin:   56 20:03:36    -3107.820673        0.1015
MDMin:   57 20:03:45    -3108.095379        0.0868
MDMin:   58 20:03:54    -3108.376721        0.1065
MDMin:   59 20:04:03    -3108.633508        0.1038
MDMin:   60 20:04:11    -3108.858317        0.0943
MDMin:   61 20:04:21    -3109.069576        0.0726
MDMin:   62 20:04:29    -3109.290808        0.0857
MDMin:   63 20:04:39    -3109.503695        0.0889
MDMin:   64 20:04:47    -3109.688822        0.0903
MDMin:   65 20:04:56    -3109.855019        0.0627
MDMin:   66 20:05:05    -3110.026351        0.0687
MDMin:   67 20:05:14    -3110.202474        0.0726
MDMin:   68 20:05:23    -3110.357901        0.0856
MDMin:   69 20:05:32    -3110.493468        0.0569
MDMin:   70 20:05:41    -3110.625629        0.0574
MDMin:   71 20:05:50    -3110.768474        0.0582
MDMin:   72 20:05:59    -3110.901213        0.0805
MDMin:   73 20:06:08    -3111.015011        0.0575
MDMin:   74 20:06:17    -3111.118616        0.0505
MDMin:   75 20:06:26    -3111.231293        0.0476
       Step     Time          Energy         fmax
MDMin:    0 21:23:21    -3111.231293        0.0476
       Step     Time          Energy         fmax
MDMin:    0 08:29:56    -3111.231293        0.0476
       Step     Time          Energy         fmax
MDMin:    0 17:03:02    -3111.231293        0.0476
