       Step     Time          Energy         fmax
MDMin:    0 14:49:11    -1808.693654        2.0828
MDMin:    1 14:49:16    -1834.615040        1.6451
MDMin:    2 14:49:20    -1887.915521        1.1163
MDMin:    3 14:49:25    -1930.095664        0.8339
MDMin:    4 14:49:29    -1951.100574        0.5909
MDMin:    5 14:49:34    -1957.355194        1.3750
MDMin:    6 14:49:39    -1960.628802        0.8182
MDMin:    7 14:49:43    -1964.199227        0.4342
MDMin:    8 14:49:48    -1966.382271        0.3261
MDMin:    9 14:49:52    -1968.973651        0.3434
MDMin:   10 14:49:57    -1971.565186        0.6500
MDMin:   11 14:50:02    -1973.121854        0.6925
MDMin:   12 14:50:06    -1974.247893        0.2286
MDMin:   13 14:50:11    -1975.443986        0.2189
MDMin:   14 14:50:15    -1977.030796        0.2006
MDMin:   15 14:50:20    -1978.763213        0.2576
MDMin:   16 14:50:25    -1979.700762        0.5797
MDMin:   17 14:50:29    -1980.454512        0.1528
MDMin:   18 14:50:34    -1980.916357        0.1488
MDMin:   19 14:50:38    -1981.471853        0.1756
MDMin:   20 14:50:43    -1981.905231        0.4269
MDMin:   21 14:50:48    -1982.168229        0.2052
MDMin:   22 14:50:52    -1982.312742        0.1185
MDMin:   23 14:50:57    -1982.519339        0.1128
MDMin:   24 14:51:02    -1982.795743        0.1063
MDMin:   25 14:51:06    -1983.085747        0.2095
MDMin:   26 14:51:11    -1983.148376        0.4921
MDMin:   27 14:51:15    -1983.290627        0.1901
MDMin:   28 14:51:20    -1983.369565        0.2817
MDMin:   29 14:51:25    -1983.425959        0.1034
MDMin:   30 14:51:29    -1983.498223        0.0853
MDMin:   31 14:51:34    -1983.573004        0.1594
MDMin:   32 14:51:39    -1983.630232        0.1414
MDMin:   33 14:51:43    -1983.676261        0.0931
MDMin:   34 14:51:48    -1983.721344        0.0764
MDMin:   35 14:51:53    -1983.774478        0.1256
MDMin:   36 14:51:57    -1983.817337        0.1537
MDMin:   37 14:52:02    -1983.851125        0.1049
MDMin:   38 14:52:07    -1983.878546        0.0689
MDMin:   39 14:52:11    -1983.912812        0.0893
MDMin:   40 14:52:16    -1983.946620        0.1183
MDMin:   41 14:52:21    -1983.970717        0.1487
MDMin:   42 14:52:26    -1983.989759        0.0627
MDMin:   43 14:52:30    -1984.011795        0.0613
MDMin:   44 14:52:35    -1984.040166        0.0632
MDMin:   45 14:52:39    -1984.061419        0.1777
MDMin:   46 14:52:44    -1984.078471        0.0567
MDMin:   47 14:52:49    -1984.090078        0.0560
MDMin:   48 14:52:53    -1984.106441        0.0547
MDMin:   49 14:52:58    -1984.124611        0.1027
MDMin:   50 14:53:03    -1984.136032        0.1283
MDMin:   51 14:53:07    -1984.146141        0.0516
MDMin:   52 14:53:12    -1984.156978        0.0506
MDMin:   53 14:53:16    -1984.172657        0.0492
       Step     Time          Energy         fmax
MDMin:    0 17:15:18    -1984.172657        0.0492
