       Step     Time          Energy         fmax
MDMin:    0 13:46:55    -1399.629861        2.5149
MDMin:    1 13:47:07    -1453.300857        1.6224
MDMin:    2 13:47:20    -1561.599079        1.0437
MDMin:    3 13:47:32    -1658.662765        0.8755
MDMin:    4 13:47:45    -1726.572631        4.6892
MDMin:    5 13:47:57    -1736.954863       13.5128
MDMin:    6 13:48:09    -1763.189244        3.6374
MDMin:    7 13:48:21    -1780.971709        4.6314
MDMin:    8 13:48:34    -1792.393591        2.4959
MDMin:    9 13:48:46    -1804.965974        3.7917
MDMin:   10 13:48:58    -1817.202060        8.6273
MDMin:   11 13:49:11    -1825.500830        8.2442
MDMin:   12 13:49:23    -1832.710532        1.6702
MDMin:   13 13:49:35    -1842.029873        0.9777
MDMin:   14 13:49:48    -1855.038418        2.7860
MDMin:   15 13:50:02    -1863.457651       12.9169
MDMin:   16 13:50:15    -1870.990355        6.5586
MDMin:   17 13:50:28    -1874.511018        2.3891
MDMin:   18 13:50:41    -1881.027464        2.2854
MDMin:   19 13:50:54    -1888.481501        5.1601
MDMin:   20 13:51:07    -1892.795883        9.3580
MDMin:   21 13:51:21    -1897.888234        1.6423
MDMin:   22 13:51:34    -1902.243634        1.2609
MDMin:   23 13:51:46    -1908.602452        3.1178
MDMin:   24 13:51:58    -1912.774453        9.2199
MDMin:   25 13:52:10    -1917.234613        4.0409
MDMin:   26 13:52:21    -1919.629516        0.5711
MDMin:   27 13:52:33    -1923.945988        0.4171
MDMin:   28 13:52:45    -1930.366882        1.2226
MDMin:   29 13:52:57    -1936.618002        6.6976
MDMin:   30 13:53:08    -1937.872635        8.0982
MDMin:   31 13:53:20    -1941.629076        2.6071
MDMin:   32 13:53:32    -1944.802899        4.0394
MDMin:   33 13:53:43    -1946.974082        4.1924
MDMin:   34 13:53:55    -1949.192901        1.5728
MDMin:   35 13:54:07    -1951.447410        2.2545
MDMin:   36 13:54:19    -1953.714954        4.5783
MDMin:   37 13:54:30    -1955.447492        4.4269
MDMin:   38 13:54:42    -1957.202289        0.9595
MDMin:   39 13:54:54    -1959.207963        1.5396
MDMin:   40 13:55:06    -1961.486037        3.9920
MDMin:   41 13:55:17    -1962.684256        5.5313
MDMin:   42 13:55:29    -1964.512006        0.4829
MDMin:   43 13:55:41    -1966.298079        0.6032
MDMin:   44 13:55:53    -1968.928580        1.9354
MDMin:   45 13:56:05    -1969.921565        7.3608
MDMin:   46 13:56:16    -1972.120180        2.8209
MDMin:   47 13:56:28    -1972.869034        0.4538
MDMin:   48 13:56:40    -1974.342708        0.5674
MDMin:   49 13:56:52    -1976.460645        1.8498
MDMin:   50 13:57:04    -1977.097707        7.1203
MDMin:   51 13:57:16    -1978.938073        2.5103
MDMin:   52 13:57:27    -1979.519204        0.3585
MDMin:   53 13:57:39    -1980.654311        0.4233
MDMin:   54 13:57:51    -1982.322760        1.4059
MDMin:   55 13:58:03    -1982.974421        6.0562
MDMin:   56 13:58:15    -1984.259465        2.8069
MDMin:   57 13:58:27    -1984.810475        0.3232
MDMin:   58 13:58:39    -1985.679179        0.3860
MDMin:   59 13:58:51    -1986.932843        1.2639
MDMin:   60 13:59:03    -1987.353182        5.0990
MDMin:   61 13:59:14    -1988.386775        2.1171
MDMin:   62 13:59:26    -1988.758631        0.2171
MDMin:   63 13:59:38    -1989.412504        0.2326
MDMin:   64 13:59:50    -1990.394656        0.8047
MDMin:   65 14:00:02    -1990.967076        3.6251
MDMin:   66 14:00:14    -1991.535737        2.3750
MDMin:   67 14:00:26    -1991.938977        0.2650
MDMin:   68 14:00:38    -1992.434874        0.3402
MDMin:   69 14:00:50    -1993.098133        1.1116
MDMin:   70 14:01:02    -1993.274589        3.0678
MDMin:   71 14:01:14    -1993.868077        0.6428
MDMin:   72 14:01:26    -1994.108422        0.4617
MDMin:   73 14:01:38    -1994.466818        1.0449
MDMin:   74 14:01:50    -1994.659984        2.3167
MDMin:   75 14:02:02    -1994.989840        1.0730
MDMin:   76 14:02:14    -1995.170657        0.3433
MDMin:   77 14:02:26    -1995.453648        0.6855
MDMin:   78 14:02:37    -1995.698530        1.9464
MDMin:   79 14:02:49    -1995.884222        1.8851
MDMin:   80 14:03:01    -1996.098495        0.0525
MDMin:   81 14:03:13    -1996.352981        0.0805
MDMin:   82 14:03:25    -1996.751009        0.3091
MDMin:   83 14:03:37    -1997.115879        1.7129
MDMin:   84 14:03:49    -1997.125145        2.6579
MDMin:   85 14:04:01    -1997.463640        0.1499
MDMin:   86 14:04:13    -1997.656044        0.2418
MDMin:   87 14:04:25    -1997.886012        0.8014
MDMin:   88 14:04:37    -1997.938180        1.5169
MDMin:   89 14:04:49    -1998.145479        0.0603
MDMin:   90 14:05:01    -1998.289580        0.1229
MDMin:   91 14:05:13    -1998.496348        0.4787
MDMin:   92 14:05:25    -1998.532868        1.7917
MDMin:   93 14:05:37    -1998.732007        0.6635
MDMin:   94 14:05:49    -1998.786499        0.0390
       Step     Time          Energy         fmax
MDMin:    0 22:18:16   -11527.370345        0.3602
MDMin:    1 22:18:29   -11527.734622        0.2794
MDMin:    2 22:18:42   -11528.507922        0.1231
MDMin:    3 22:18:55   -11529.327961        0.1283
MDMin:    4 22:19:09   -11529.971012        0.4479
MDMin:    5 22:19:22   -11530.159660        0.7909
MDMin:    6 22:19:35   -11530.410233        0.1708
MDMin:    7 22:19:48   -11530.632651        0.2517
MDMin:    8 22:20:01   -11530.809015        0.3245
MDMin:    9 22:20:14   -11530.958261        0.2520
MDMin:   10 22:20:27   -11531.099691        0.2917
MDMin:   11 22:20:40   -11531.237962        0.4862
MDMin:   12 22:20:53   -11531.355958        0.5281
MDMin:   13 22:21:06   -11531.462796        0.3812
MDMin:   14 22:21:19   -11531.563473        0.4716
MDMin:   15 22:21:32   -11531.657613        0.8068
MDMin:   16 22:21:46   -11531.740000        0.9008
MDMin:   17 22:21:59   -11531.819752        0.6192
MDMin:   18 22:22:11   -11531.892349        0.7188
MDMin:   19 22:22:24   -11531.959735        1.0344
MDMin:   20 22:22:37   -11532.025906        0.9429
MDMin:   21 22:22:50   -11532.091285        0.5690
MDMin:   22 22:23:03   -11532.153159        0.6743
MDMin:   23 22:23:16   -11532.209921        0.9989
MDMin:   24 22:23:29   -11532.267678        0.8843
MDMin:   25 22:23:42   -11532.324295        0.4989
MDMin:   26 22:23:55   -11532.378625        0.6156
MDMin:   27 22:24:08   -11532.427517        0.9629
