       Step     Time          Energy         fmax
MDMin:    0 15:58:38   -24859.290762        1.7021
MDMin:    1 15:59:07   -24863.050283        1.4816
MDMin:    2 15:59:41   -24870.172532        0.7281
MDMin:    3 16:00:15   -24876.040067        0.4438
MDMin:    4 16:00:39   -24879.182264        0.9263
MDMin:    5 16:00:58   -24880.698797        0.4519
MDMin:    6 16:01:20   -24881.247656        0.2059
MDMin:    7 16:01:41   -24882.118086        0.1748
MDMin:    8 16:02:02   -24883.257024        0.1904
MDMin:    9 16:02:14   -24884.330761        0.5559
MDMin:   10 16:02:25   -24884.648730        0.7919
MDMin:   11 16:02:36   -24885.057167        0.2977
MDMin:   12 16:02:47   -24885.413979        0.4634
MDMin:   13 16:02:59   -24885.689851        0.1562
MDMin:   14 16:03:10   -24885.980562        0.2127
MDMin:   15 16:03:21   -24886.320472        0.2405
MDMin:   16 16:03:33   -24886.568520        0.4997
MDMin:   17 16:03:45   -24886.777033        0.1285
MDMin:   18 16:03:56   -24886.958916        0.1517
MDMin:   19 16:04:08   -24887.195912        0.1562
MDMin:   20 16:04:19   -24887.397404        0.4053
MDMin:   21 16:04:32   -24887.550236        0.1957
MDMin:   22 16:04:44   -24887.661473        0.1019
MDMin:   23 16:04:55   -24887.810785        0.0811
MDMin:   24 16:05:09   -24887.991806        0.2261
MDMin:   25 16:05:22   -24888.108932        0.3470
MDMin:   26 16:05:38   -24888.218616        0.0681
MDMin:   27 16:05:51   -24888.316126        0.0495
       Step     Time          Energy         fmax
MDMin:    0 17:22:34   -24859.290762        1.7021
MDMin:    1 17:22:51   -24863.050283        1.4816
MDMin:    2 17:23:08   -24870.172532        0.7281
MDMin:    3 17:23:24   -24876.040067        0.4438
MDMin:    4 17:23:41   -24879.182264        0.9263
MDMin:    5 17:23:58   -24880.698797        0.4519
MDMin:    6 17:24:15   -24881.247656        0.2059
MDMin:    7 17:24:32   -24882.118086        0.1748
MDMin:    8 17:24:49   -24883.257024        0.1904
MDMin:    9 17:25:05   -24884.330761        0.5559
MDMin:   10 17:25:22   -24884.648730        0.7919
MDMin:   11 17:25:38   -24885.057167        0.2977
MDMin:   12 17:25:55   -24885.413979        0.4634
MDMin:   13 17:26:12   -24885.689851        0.1562
MDMin:   14 17:26:30   -24885.980562        0.2127
MDMin:   15 17:26:47   -24886.320472        0.2405
MDMin:   16 17:27:09   -24886.568520        0.4997
MDMin:   17 17:27:26   -24886.777033        0.1285
MDMin:   18 17:27:43   -24886.958916        0.1517
MDMin:   19 17:28:00   -24887.195912        0.1562
MDMin:   20 17:28:17   -24887.397404        0.4053
MDMin:   21 17:28:34   -24887.550236        0.1957
MDMin:   22 17:28:52   -24887.661473        0.1019
MDMin:   23 17:29:09   -24887.810785        0.0811
MDMin:   24 17:29:27   -24887.991806        0.2261
MDMin:   25 17:29:44   -24888.108932        0.3470
MDMin:   26 17:30:01   -24888.218616        0.0681
MDMin:   27 17:30:19   -24888.316126        0.0495
       Step     Time          Energy         fmax
MDMin:    0 17:54:39   -24888.316126        0.0495
       Step     Time          Energy         fmax
MDMin:    0 14:05:07    25970.221781        0.5100
MDMin:    1 14:05:19    25969.081960        0.3920
MDMin:    2 14:05:31    25966.064249        0.1934
MDMin:    3 14:05:43    25961.835567        0.1668
MDMin:    4 14:05:54    25956.969680        0.3016
MDMin:    5 14:06:06    25952.834139        0.9697
MDMin:    6 14:06:18    25951.704241        1.4559
MDMin:    7 14:06:30    25950.387539        0.6976
MDMin:    8 14:06:41    25949.122121        0.5297
MDMin:    9 14:06:53    25948.146268        0.2820
MDMin:   10 14:07:05    25947.051857        0.2164
MDMin:   11 14:07:16    25945.772442        0.4799
MDMin:   12 14:07:28    25944.791508        0.6559
MDMin:   13 14:07:40    25944.009145        0.3018
MDMin:   14 14:07:52    25943.340730        0.1677
MDMin:   15 14:08:04    25942.477496        0.3102
MDMin:   16 14:08:15    25941.648397        0.4759
MDMin:   17 14:08:27    25941.064341        0.5082
MDMin:   18 14:08:39    25940.617166        0.1095
MDMin:   19 14:08:51    25940.073229        0.1376
MDMin:   20 14:09:02    25939.351287        0.1849
MDMin:   21 14:09:14    25938.736754        0.5713
MDMin:   22 14:09:26    25938.327333        0.3236
MDMin:   23 14:09:37    25938.071449        0.0536
MDMin:   24 14:09:49    25937.697598        0.0517
MDMin:   25 14:10:01    25937.163045        0.0505
MDMin:   26 14:10:13    25936.511505        0.0740
MDMin:   27 14:10:25    25935.882033        0.4028
MDMin:   28 14:10:37    25935.812913        0.7781
MDMin:   29 14:10:48    25935.508237        0.3330
MDMin:   30 14:11:00    25935.330305        0.3941
MDMin:   31 14:11:12    25935.207563        0.1348
MDMin:   32 14:11:23    25935.041777        0.0967
MDMin:   33 14:11:35    25934.852958        0.2035
MDMin:   34 14:11:47    25934.699604        0.2404
MDMin:   35 14:12:00    25934.576425        0.1430
MDMin:   36 14:12:12    25934.466412        0.0767
MDMin:   37 14:12:24    25934.330269        0.1371
MDMin:   38 14:12:37    25934.197359        0.1844
MDMin:   39 14:12:49    25934.098043        0.2058
MDMin:   40 14:13:01    25934.018850        0.0599
MDMin:   41 14:13:13    25933.927741        0.0809
MDMin:   42 14:13:25    25933.814339        0.1018
MDMin:   43 14:13:37    25933.722251        0.2334
MDMin:   44 14:13:49    25933.651177        0.0885
MDMin:   45 14:14:01    25933.596807        0.0647
MDMin:   46 14:14:13    25933.524524        0.0566
MDMin:   47 14:14:25    25933.442857        0.1395
MDMin:   48 14:14:37    25933.385135        0.1747
MDMin:   49 14:14:49    25933.337505        0.0501
MDMin:   50 14:15:01    25933.290670        0.0350
       Step     Time          Energy         fmax
MDMin:    0 14:38:10    25933.290670        0.0350
