       Step     Time          Energy         fmax
MDMin:    0 13:46:45     1511.674839        2.0200
MDMin:    1 13:46:47     1500.272109        1.2596
MDMin:    2 13:46:50     1478.558578        0.9009
MDMin:    3 13:46:52     1463.154350        0.9360
MDMin:    4 13:46:54     1457.950099        2.3166
MDMin:    5 13:46:57     1454.285195        0.5953
MDMin:    6 13:46:59     1452.717069        0.5440
MDMin:    7 13:47:02     1450.739739        0.8003
MDMin:    8 13:47:04     1449.493726        2.2009
MDMin:    9 13:47:06     1448.407130        0.6392
MDMin:   10 13:47:09     1447.856272        0.4593
MDMin:   11 13:47:11     1447.103121        0.8857
MDMin:   12 13:47:14     1446.616655        2.3274
MDMin:   13 13:47:16     1446.169889        1.1816
MDMin:   14 13:47:19     1445.969091        0.1693
MDMin:   15 13:47:21     1445.647013        0.1799
MDMin:   16 13:47:23     1445.240672        0.6646
MDMin:   17 13:47:26     1445.209236        3.0120
MDMin:   18 13:47:28     1444.881060        0.2340
MDMin:   19 13:47:31     1444.830330        0.1143
MDMin:   20 13:47:33     1444.738000        0.2389
MDMin:   21 13:47:35     1444.658982        0.9107
MDMin:   22 13:47:38     1444.635219        1.0607
MDMin:   23 13:47:40     1444.584761        0.0879
MDMin:   24 13:47:43     1444.546646        0.1929
MDMin:   25 13:47:45     1444.518278        0.6526
MDMin:   26 13:47:48     1444.501017        0.5616
MDMin:   27 13:47:50     1444.484586        0.0511
MDMin:   28 13:47:52     1444.467470        0.0774
MDMin:   29 13:47:55     1444.448912        0.3045
MDMin:   30 13:47:57     1444.448919        0.6174
MDMin:   31 13:47:59     1444.433167        0.0404
       Step     Time          Energy         fmax
MDMin:    0 22:18:04     -557.779127        0.4644
MDMin:    1 22:18:06     -557.869574        0.2292
MDMin:    2 22:18:09     -558.004066        0.1255
MDMin:    3 22:18:11     -558.082417        0.2676
MDMin:    4 22:18:13     -558.107876        0.3726
MDMin:    5 22:18:15     -558.135527        0.0757
MDMin:    6 22:18:17     -558.160591        0.1189
MDMin:    7 22:18:19     -558.176837        0.2037
MDMin:    8 22:18:21     -558.191221        0.1018
MDMin:    9 22:18:23     -558.200280        0.0608
MDMin:   10 22:18:25     -558.210993        0.1209
MDMin:   11 22:18:27     -558.217835        0.2010
MDMin:   12 22:18:29     -558.224861        0.0778
MDMin:   13 22:18:31     -558.229346        0.0550
MDMin:   14 22:18:33     -558.234591        0.1148
MDMin:   15 22:18:35     -558.237547        0.1850
MDMin:   16 22:18:37     -558.241152        0.0516
MDMin:   17 22:18:39     -558.243590        0.0582
MDMin:   18 22:18:41     -558.246161        0.1321
MDMin:   19 22:18:43     -558.247522        0.1685
MDMin:   20 22:18:45     -558.249300        0.0136
       Step     Time          Energy         fmax
MDMin:    0 08:51:54     -558.249300        0.0136
       Step     Time          Energy         fmax
MDMin:    0 11:13:06     -558.249300        0.0136
