       Step     Time          Energy         fmax
MDMin:    0 17:20:36   -24578.938356        2.1013
MDMin:    1 17:20:52   -24587.900335        1.9359
MDMin:    2 17:21:08   -24609.099392        1.4082
MDMin:    3 17:21:24   -24633.984657        0.9297
MDMin:    4 17:21:41   -24659.296900        0.6589
MDMin:    5 17:21:57   -24683.564080        1.2041
MDMin:    6 17:22:12   -24688.481294        4.4520
MDMin:    7 17:22:29   -24700.934332        1.8319
MDMin:    8 17:22:45   -24706.252956        2.2526
MDMin:    9 17:23:01   -24709.846151        1.0337
MDMin:   10 17:23:17   -24714.451083        1.1277
MDMin:   11 17:23:34   -24718.903802        1.0410
MDMin:   12 17:23:50   -24723.072281        1.3195
MDMin:   13 17:24:06   -24726.817205        1.0430
MDMin:   14 17:24:23   -24730.261494        1.0598
MDMin:   15 17:24:39   -24733.732684        0.9073
MDMin:   16 17:24:55   -24737.157233        1.1720
MDMin:   17 17:25:12   -24740.282384        1.0096
MDMin:   18 17:25:28   -24743.103263        0.9801
MDMin:   19 17:25:44   -24745.887836        0.7940
MDMin:   20 17:26:00   -24748.734629        1.0114
MDMin:   21 17:26:16   -24751.398312        0.9632
MDMin:   22 17:26:32   -24753.767918        0.9408
MDMin:   23 17:26:48   -24756.022253        0.7082
MDMin:   24 17:27:05   -24758.366732        0.8631
MDMin:   25 17:27:21   -24760.653986        0.8883
MDMin:   26 17:27:38   -24762.673947        0.9258
MDMin:   27 17:27:54   -24764.527621        0.6480
MDMin:   28 17:28:10   -24766.434908        0.7351
MDMin:   29 17:28:27   -24768.392580        0.7908
MDMin:   30 17:28:43   -24770.129588        0.9078
MDMin:   31 17:29:00   -24771.684714        0.6146
MDMin:   32 17:29:16   -24773.223460        0.6344
MDMin:   33 17:29:32   -24774.872401        0.6851
MDMin:   34 17:29:49   -24776.374926        0.8604
MDMin:   35 17:30:05   -24777.698186        0.6109
MDMin:   36 17:30:22   -24778.939176        0.5609
MDMin:   37 17:30:38   -24780.294095        0.5819
MDMin:   38 17:30:55   -24781.597370        0.7768
MDMin:   39 17:31:11   -24782.729253        0.6302
MDMin:   40 17:31:27   -24783.744703        0.5083
MDMin:   41 17:31:44   -24784.834310        0.4885
MDMin:   42 17:32:00   -24785.960619        0.6718
MDMin:   43 17:32:17   -24786.933882        0.6487
MDMin:   44 17:32:33   -24787.787690        0.4767
MDMin:   45 17:32:50   -24788.652830        0.4138
MDMin:   46 17:33:06   -24789.607612        0.5641
MDMin:   47 17:33:23   -24790.452484        0.6357
MDMin:   48 17:33:40   -24791.183174        0.4759
MDMin:   49 17:33:56   -24791.867092        0.3602
MDMin:   50 17:34:13   -24792.648532        0.4625
MDMin:   51 17:34:30   -24793.389452        0.5786
MDMin:   52 17:34:47   -24794.013661        0.5058
MDMin:   53 17:35:03   -24794.564559        0.3178
MDMin:   54 17:35:20   -24795.186130        0.3697
MDMin:   55 17:35:37   -24795.840718        0.4947
MDMin:   56 17:35:53   -24796.374368        0.5441
MDMin:   57 17:36:10   -24796.840964        0.2853
MDMin:   58 17:36:27   -24797.328739        0.2971
