       Step     Time          Energy         fmax
MDMin:    0 17:20:29   -13199.271966        1.7021
MDMin:    1 17:20:38   -13201.985513        1.4816
MDMin:    2 17:20:47   -13207.181967        0.7304
MDMin:    3 17:20:56   -13211.360949        0.4387
MDMin:    4 17:21:05   -13213.378307        0.9534
MDMin:    5 17:21:14   -13214.367405        0.3835
MDMin:    6 17:21:23   -13214.705980        0.1731
MDMin:    7 17:21:31   -13215.213552        0.1686
MDMin:    8 17:21:40   -13215.845952        0.2398
MDMin:    9 17:21:49   -13216.328959        0.4860
MDMin:   10 17:21:58   -13216.544937        0.5185
MDMin:   11 17:22:07   -13216.664902        0.2435
MDMin:   12 17:22:16   -13216.824840        0.1719
MDMin:   13 17:22:25   -13216.972904        0.2819
MDMin:   14 17:22:34   -13217.093722        0.1758
MDMin:   15 17:22:43   -13217.195253        0.1882
MDMin:   16 17:22:52   -13217.294003        0.1265
MDMin:   17 17:23:01   -13217.391659        0.2196
MDMin:   18 17:23:10   -13217.471183        0.1496
MDMin:   19 17:23:20   -13217.536878        0.1489
MDMin:   20 17:23:29   -13217.599100        0.0935
MDMin:   21 17:23:38   -13217.665050        0.1671
MDMin:   22 17:23:47   -13217.719481        0.1384
MDMin:   23 17:23:56   -13217.763852        0.1262
MDMin:   24 17:24:05   -13217.803228        0.0706
MDMin:   25 17:24:15   -13217.847305        0.1234
MDMin:   26 17:24:24   -13217.885929        0.1177
MDMin:   27 17:24:33   -13217.916522        0.1204
MDMin:   28 17:24:42   -13217.941654        0.0539
MDMin:   29 17:24:51   -13217.970325        0.0861
MDMin:   30 17:25:00   -13217.998950        0.0888
MDMin:   31 17:25:09   -13218.020231        0.1276
MDMin:   32 17:25:19   -13218.037442        0.0393
       Step     Time          Energy         fmax
MDMin:    0 17:54:06   -13218.037442        0.0393
       Step     Time          Energy         fmax
MDMin:    0 14:03:35    13954.323495        0.5240
MDMin:    1 14:03:42    13953.695316        0.4017
MDMin:    2 14:03:48    13952.096370        0.1956
MDMin:    3 14:03:54    13949.965882        0.1771
MDMin:    4 14:04:00    13947.677096        0.3459
MDMin:    5 14:04:07    13946.417059        1.0456
MDMin:    6 14:04:13    13945.392422        0.1653
MDMin:    7 14:04:19    13944.906841        0.1174
MDMin:    8 14:04:25    13944.235645        0.2159
MDMin:    9 14:04:32    13943.598096        0.3903
MDMin:   10 14:04:38    13943.273209        0.5523
MDMin:   11 14:04:44    13943.036769        0.1908
MDMin:   12 14:04:50    13942.740883        0.1463
MDMin:   13 14:04:57    13942.430193        0.2908
MDMin:   14 14:05:03    13942.197693        0.2761
MDMin:   15 14:05:09    13942.014497        0.1484
MDMin:   16 14:05:15    13941.838254        0.0986
MDMin:   17 14:05:22    13941.625618        0.1912
MDMin:   18 14:05:28    13941.451863        0.2497
MDMin:   19 14:05:34    13941.322712        0.1773
MDMin:   20 14:05:40    13941.225889        0.0726
MDMin:   21 14:05:47    13941.102986        0.1096
MDMin:   22 14:05:53    13940.968951        0.1388
MDMin:   23 14:05:59    13940.879937        0.2580
MDMin:   24 14:06:05    13940.808038        0.0423
       Step     Time          Energy         fmax
MDMin:    0 14:38:03    13940.808038        0.0423
