       Step     Time          Energy         fmax
MDMin:    0 19:55:53   -39428.644833        2.0629
MDMin:    1 19:56:43   -39477.177473        1.8393
MDMin:    2 19:57:34   -39589.461005        1.0869
MDMin:    3 19:58:24   -39709.768346        0.7174
MDMin:    4 19:59:15   -39819.771019        0.8108
MDMin:    5 20:00:05   -39917.605102        1.2189
MDMin:    6 20:00:56   -39960.199542        2.1299
MDMin:    7 20:01:47   -39991.615713        1.6123
MDMin:    8 20:02:37   -40021.674774        0.5820
MDMin:    9 20:03:28   -40047.146978        0.5235
MDMin:   10 20:04:19   -40073.111383        0.4291
MDMin:   11 20:05:10   -40096.606286        0.5512
MDMin:   12 20:06:01   -40116.318557        0.4463
MDMin:   13 20:06:51   -40134.245143        0.4335
MDMin:   14 20:07:42   -40153.422209        0.4300
MDMin:   15 20:08:33   -40173.260185        0.5823
MDMin:   16 20:09:23   -40190.656955        0.6270
MDMin:   17 20:10:14   -40205.560018        0.5012
MDMin:   18 20:11:05   -40220.107753        0.4412
MDMin:   19 20:11:55   -40236.370455        0.5080
MDMin:   20 20:12:46   -40252.405141        0.6730
MDMin:   21 20:13:37   -40266.066241        0.6206
MDMin:   22 20:14:27   -40278.051553        0.4699
MDMin:   23 20:15:18   -40290.822801        0.4270
MDMin:   24 20:16:08   -40305.099571        0.5754
MDMin:   25 20:16:59   -40318.275178        0.7041
MDMin:   26 20:17:50   -40329.377607        0.5742
MDMin:   27 20:18:40   -40339.589656        0.3931
MDMin:   28 20:19:31   -40351.253541        0.4511
MDMin:   29 20:20:22   -40363.767793        0.5891
MDMin:   30 20:21:12   -40374.559295        0.6802
MDMin:   31 20:22:03   -40383.802953        0.4117
MDMin:   32 20:22:54   -40393.056876        0.3713
MDMin:   33 20:23:44   -40403.950602        0.4352
MDMin:   34 20:24:35   -40414.635631        0.6063
MDMin:   35 20:25:26   -40423.546456        0.5180
MDMin:   36 20:26:16   -40431.322290        0.3397
MDMin:   37 20:27:07   -40440.036351        0.3149
MDMin:   38 20:27:57   -40450.071358        0.4386
MDMin:   39 20:28:48   -40459.036143        0.5457
MDMin:   40 20:29:38   -40466.530184        0.3808
MDMin:   41 20:30:29   -40473.444804        0.2677
MDMin:   42 20:31:19   -40481.756230        0.3105
MDMin:   43 20:32:10   -40490.615229        0.4416
MDMin:   44 20:33:00   -40497.977245        0.4709
MDMin:   45 20:33:50   -40504.263170        0.2631
MDMin:   46 20:34:41   -40510.843614        0.2420
MDMin:   47 20:35:31   -40518.848848        0.3307
MDMin:   48 20:36:21   -40526.380770        0.4376
MDMin:   49 20:37:12   -40532.538422        0.3887
MDMin:   50 20:38:02   -40537.867035        0.2119
MDMin:   51 20:38:53   -40544.239182        0.2588
MDMin:   52 20:39:43   -40551.606819        0.3254
