       Step     Time          Energy         fmax
MDMin:    0 22:00:24    20023.324756        1.1030
MDMin:    1 22:00:28    20021.175246        0.9574
MDMin:    2 22:00:31    20016.948607        0.5389
MDMin:    3 22:00:35    20013.212829        0.3009
MDMin:    4 22:00:39    20011.012856        0.2749
MDMin:    5 22:00:43    20010.214946        0.2268
MDMin:    6 22:00:46    20009.934945        0.1489
MDMin:    7 22:00:50    20009.494123        0.1325
MDMin:    8 22:00:54    20009.053813        0.1110
MDMin:    9 22:00:58    20008.660517        0.1243
MDMin:   10 22:01:02    20008.388838        0.1136
MDMin:   11 22:01:06    20008.191304        0.0903
MDMin:   12 22:01:10    20007.987997        0.0765
MDMin:   13 22:01:14    20007.760146        0.0804
MDMin:   14 22:01:17    20007.596011        0.1158
MDMin:   15 22:01:21    20007.476378        0.0635
MDMin:   16 22:01:25    20007.381955        0.0580
MDMin:   17 22:01:29    20007.262735        0.0549
MDMin:   18 22:01:33    20007.152235        0.0951
MDMin:   19 22:01:37    20007.082540        0.0781
MDMin:   20 22:01:41    20007.033725        0.0444
       Step     Time          Energy         fmax
MDMin:    0 23:16:21    20007.033725        0.0444
       Step     Time          Energy         fmax
MDMin:    0 15:38:15     8791.240680        0.1533
MDMin:    1 15:38:20     8791.127513        0.1402
MDMin:    2 15:38:24     8790.861619        0.1093
MDMin:    3 15:38:28     8790.534086        0.0886
MDMin:    4 15:38:32     8790.192540        0.0695
MDMin:    5 15:38:37     8789.947678        0.1543
MDMin:    6 15:38:41     8789.850153        0.1193
MDMin:    7 15:38:45     8789.811248        0.0736
MDMin:    8 15:38:49     8789.752002        0.0504
MDMin:    9 15:38:54     8789.692487        0.0485
       Step     Time          Energy         fmax
MDMin:    0 15:42:12     8789.692487        0.0485
