       Step     Time          Energy         fmax
MDMin:    0 13:46:44      976.804618        2.7385
MDMin:    1 13:46:45      974.254520        1.4548
MDMin:    2 13:46:46      970.561355        1.1040
MDMin:    3 13:46:47      968.742252        2.3987
MDMin:    4 13:46:48      967.723402        1.3882
MDMin:    5 13:46:49      967.368834        0.4502
MDMin:    6 13:46:50      966.822214        0.4004
MDMin:    7 13:46:51      966.418258        1.2861
MDMin:    8 13:46:52      966.297678        1.1389
MDMin:    9 13:46:53      966.150538        0.2222
MDMin:   10 13:46:55      966.056803        0.5027
MDMin:   11 13:46:56      966.034331        0.8029
MDMin:   12 13:46:57      965.983300        0.1299
MDMin:   13 13:46:58      965.955209        0.3092
MDMin:   14 13:46:59      965.948148        0.4732
MDMin:   15 13:47:00      965.932980        0.0818
MDMin:   16 13:47:01      965.923675        0.1576
MDMin:   17 13:47:02      965.921057        0.2935
MDMin:   18 13:47:03      965.915378        0.0611
MDMin:   19 13:47:04      965.911665        0.0535
MDMin:   20 13:47:05      965.909132        0.1477
MDMin:   21 13:47:06      965.907373        0.1008
MDMin:   22 13:47:07      965.906345        0.0430
       Step     Time          Energy         fmax
MDMin:    0 22:18:04      233.412654        0.3016
MDMin:    1 22:18:05      233.382873        0.2158
MDMin:    2 22:18:06      233.349966        0.1137
MDMin:    3 22:18:07      233.341600        0.0788
MDMin:    4 22:18:09      233.338396        0.0380
       Step     Time          Energy         fmax
MDMin:    0 08:49:56      233.338396        0.0380
       Step     Time          Energy         fmax
MDMin:    0 11:13:04      233.338396        0.0380
