       Step     Time          Energy         fmax
MDMin:    0 17:16:21    -3585.175343        1.7021
MDMin:    1 17:16:24    -3586.683569        1.4816
MDMin:    2 17:16:26    -3589.595538        0.7336
MDMin:    3 17:16:29    -3591.774413        0.4314
MDMin:    4 17:16:31    -3592.592207        0.9732
MDMin:    5 17:16:34    -3593.056870        0.2270
MDMin:    6 17:16:37    -3593.280590        0.1475
MDMin:    7 17:16:39    -3593.493809        0.1367
MDMin:    8 17:16:42    -3593.608089        0.1405
MDMin:    9 17:16:44    -3593.678548        0.0930
MDMin:   10 17:16:47    -3593.730144        0.0895
MDMin:   11 17:16:50    -3593.782651        0.1256
MDMin:   12 17:16:52    -3593.797769        0.1745
MDMin:   13 17:16:55    -3593.818604        0.0947
MDMin:   14 17:16:57    -3593.829609        0.1419
MDMin:   15 17:17:00    -3593.837598        0.0613
MDMin:   16 17:17:05    -3593.846502        0.0511
MDMin:   17 17:17:08    -3593.853935        0.0837
MDMin:   18 17:17:11    -3593.859025        0.0482
       Step     Time          Energy         fmax
MDMin:    0 17:52:25    -3593.859025        0.0482
       Step     Time          Energy         fmax
MDMin:    0 14:02:03     3930.750743        0.5195
MDMin:    1 14:02:05     3930.532170        0.3990
MDMin:    2 14:02:07     3930.031650        0.1907
MDMin:    3 14:02:09     3929.448533        0.1802
MDMin:    4 14:02:11     3928.970479        0.3705
MDMin:    5 14:02:13     3928.926315        0.5463
MDMin:    6 14:02:15     3928.754366        0.2146
MDMin:    7 14:02:17     3928.678343        0.3331
MDMin:    8 14:02:19     3928.627221        0.1751
MDMin:    9 14:02:21     3928.571970        0.1082
MDMin:   10 14:02:23     3928.531062        0.1098
MDMin:   11 14:02:25     3928.496044        0.0723
MDMin:   12 14:02:27     3928.465505        0.1075
MDMin:   13 14:02:29     3928.443413        0.0754
MDMin:   14 14:02:32     3928.427377        0.0628
MDMin:   15 14:02:34     3928.413334        0.0409
       Step     Time          Energy         fmax
MDMin:    0 14:37:34     3928.413334        0.0409
