       Step     Time          Energy         fmax
MDMin:    0 19:55:15    -1749.332733        1.9742
MDMin:    1 19:55:27    -1767.400327        1.7516
MDMin:    2 19:55:40    -1807.896440        0.9939
MDMin:    3 19:55:52    -1853.266578        0.6958
MDMin:    4 19:56:05    -1898.480952        0.7919
MDMin:    5 19:56:17    -1939.905150        0.9698
MDMin:    6 19:56:30    -1955.938986        2.4640
MDMin:    7 19:56:42    -1969.805280        1.8253
MDMin:    8 19:56:55    -1981.610280        0.6054
MDMin:    9 19:57:07    -1989.493719        0.6315
MDMin:   10 19:57:20    -1998.505897        0.4405
MDMin:   11 19:57:32    -2008.853176        0.9678
MDMin:   12 19:57:44    -2017.282515        1.1172
MDMin:   13 19:57:57    -2023.753992        0.7737
MDMin:   14 19:58:09    -2029.272549        0.3644
MDMin:   15 19:58:22    -2036.276692        0.6206
MDMin:   16 19:58:34    -2043.813038        0.7005
MDMin:   17 19:58:47    -2049.405014        1.1850
MDMin:   18 19:58:59    -2053.858864        0.3175
MDMin:   19 19:59:12    -2058.436603        0.3956
MDMin:   20 19:59:24    -2064.472239        0.3498
MDMin:   21 19:59:37    -2070.191700        0.9610
MDMin:   22 19:59:49    -2074.093622        0.6211
MDMin:   23 20:00:02    -2076.974811        0.2195
MDMin:   24 20:00:14    -2080.688612        0.1799
MDMin:   25 20:00:27    -2085.915195        0.2867
MDMin:   26 20:00:39    -2091.557024        0.4162
MDMin:   27 20:00:52    -2094.133102        0.9714
MDMin:   28 20:01:04    -2096.729920        0.4019
MDMin:   29 20:01:16    -2099.340898        0.2883
MDMin:   30 20:01:29    -2101.788666        0.4256
MDMin:   31 20:01:41    -2103.974600        0.2630
MDMin:   32 20:01:54    -2106.008632        0.3184
MDMin:   33 20:02:06    -2108.057566        0.2297
MDMin:   34 20:02:19    -2110.066858        0.3294
MDMin:   35 20:02:31    -2111.873810        0.2526
MDMin:   36 20:02:44    -2113.497514        0.2584
MDMin:   37 20:02:56    -2115.086304        0.2021
MDMin:   38 20:03:09    -2116.706097        0.2434
MDMin:   39 20:03:21    -2118.210893        0.2384
MDMin:   40 20:03:34    -2119.539072        0.2169
MDMin:   41 20:03:46    -2120.777873        0.1790
MDMin:   42 20:03:59    -2122.054548        0.1940
MDMin:   43 20:04:12    -2123.305716        0.2093
MDMin:   44 20:04:24    -2124.412133        0.2148
MDMin:   45 20:04:37    -2125.402317        0.1619
MDMin:   46 20:04:49    -2126.394045        0.1631
MDMin:   47 20:05:02    -2127.419683        0.1732
MDMin:   48 20:05:14    -2128.353540        0.2031
MDMin:   49 20:05:27    -2129.169476        0.1519
MDMin:   50 20:05:39    -2129.940970        0.1396
MDMin:   51 20:05:52    -2130.759975        0.1387
MDMin:   52 20:06:04    -2131.552111        0.1782
MDMin:   53 20:06:17    -2132.238567        0.1467
MDMin:   54 20:06:29    -2132.853479        0.1236
MDMin:   55 20:06:41    -2133.492587        0.1104
MDMin:   56 20:06:54    -2134.158035        0.1466
MDMin:   57 20:07:06    -2134.745191        0.1385
MDMin:   58 20:07:19    -2135.254836        0.1159
MDMin:   59 20:07:31    -2135.749573        0.0904
MDMin:   60 20:07:44    -2136.291329        0.1165
MDMin:   61 20:07:56    -2136.799548        0.1243
MDMin:   62 20:08:09    -2137.232429        0.1167
MDMin:   63 20:08:21    -2137.622053        0.0782
MDMin:   64 20:08:34    -2138.047263        0.0912
MDMin:   65 20:08:46    -2138.486467        0.1067
MDMin:   66 20:08:59    -2138.860397        0.1188
MDMin:   67 20:09:11    -2139.183692        0.0739
MDMin:   68 20:09:24    -2139.511476        0.0731
MDMin:   69 20:09:36    -2139.879617        0.0866
MDMin:   70 20:09:49    -2140.209636        0.1109
MDMin:   71 20:10:01    -2140.488161        0.0787
MDMin:   72 20:10:13    -2140.741481        0.0620
MDMin:   73 20:10:26    -2141.033105        0.0678
MDMin:   74 20:10:38    -2141.326766        0.0917
MDMin:   75 20:10:51    -2141.568988        0.0906
MDMin:   76 20:11:03    -2141.777267        0.0547
MDMin:   77 20:11:16    -2142.001640        0.0532
MDMin:   78 20:11:28    -2142.257928        0.0723
MDMin:   79 20:11:40    -2142.475743        0.0957
MDMin:   80 20:11:53    -2142.659728        0.0556
       Step     Time          Energy         fmax
MDMin:    0 21:23:24    -2142.659728        0.0556
MDMin:    1 21:23:36    -2142.727840        0.0416
       Step     Time          Energy         fmax
MDMin:    0 08:29:59    -2142.727840        0.0416
       Step     Time          Energy         fmax
MDMin:    0 17:03:05    -2142.727840        0.0416
