       Step     Time          Energy         fmax
MDMin:    0 17:20:42   -32292.725123        2.1013
MDMin:    1 17:21:03   -32303.081268        1.9359
MDMin:    2 17:21:25   -32327.442001        1.4077
MDMin:    3 17:21:46   -32355.917384        0.9289
MDMin:    4 17:22:07   -32384.961940        0.6614
MDMin:    5 17:22:29   -32413.025613        1.2138
MDMin:    6 17:22:51   -32420.020883        4.5535
MDMin:    7 17:23:12   -32434.328513        1.6832
MDMin:    8 17:23:34   -32440.807899        2.2025
MDMin:    9 17:23:56   -32444.977007        0.9056
MDMin:   10 17:24:18   -32450.581724        1.0125
MDMin:   11 17:24:39   -32456.583080        1.1561
MDMin:   12 17:25:01   -32461.790013        1.6702
MDMin:   13 17:25:23   -32466.168284        1.0004
MDMin:   14 17:25:44   -32470.158405        0.9331
MDMin:   15 17:26:06   -32474.792265        0.9415
MDMin:   16 17:26:27   -32479.353378        1.4798
MDMin:   17 17:26:49   -32483.129206        1.1698
MDMin:   18 17:27:11   -32486.371265        0.8324
MDMin:   19 17:27:32   -32489.972413        0.7352
MDMin:   20 17:27:54   -32494.051265        1.1783
MDMin:   21 17:28:16   -32497.465124        1.3105
MDMin:   22 17:28:38   -32500.363217        0.8536
MDMin:   23 17:29:00   -32503.123830        0.6105
MDMin:   24 17:29:22   -32506.523011        0.9079
MDMin:   25 17:29:43   -32509.732573        1.2023
MDMin:   26 17:30:05   -32512.313072        1.0724
MDMin:   27 17:30:27   -32514.509228        0.5113
MDMin:   28 17:30:49   -32517.171076        0.6540
MDMin:   29 17:31:11   -32520.249078        0.9300
MDMin:   30 17:31:32   -32522.593629        1.3407
MDMin:   31 17:31:54   -32524.669280        0.4706
MDMin:   32 17:32:16   -32526.719846        0.5130
MDMin:   33 17:32:38   -32529.404076        0.7048
MDMin:   34 17:33:00   -32531.683015        1.2768
MDMin:   35 17:33:22   -32533.574694        0.6835
MDMin:   36 17:33:44   -32535.061496        0.4494
MDMin:   37 17:34:07   -32537.047926        0.4948
MDMin:   38 17:34:29   -32539.278812        0.9104
MDMin:   39 17:34:52   -32540.890170        1.0601
MDMin:   40 17:35:14   -32542.315804        0.3665
MDMin:   41 17:35:36   -32543.824520        0.3391
MDMin:   42 17:35:59   -32545.887616        0.6074
MDMin:   43 17:36:21   -32547.581625        1.0985
MDMin:   44 17:36:43   -32548.957346        0.6639
MDMin:   45 17:37:05   -32549.925206        0.2617
MDMin:   46 17:37:27   -32551.331344        0.3483
MDMin:   47 17:37:48   -32553.117989        0.6011
MDMin:   48 17:38:10   -32554.308479        1.1501
MDMin:   49 17:38:32   -32555.485582        0.2604
MDMin:   50 17:38:54   -32556.473661        0.2797
MDMin:   51 17:39:16   -32557.888707        0.4227
MDMin:   52 17:39:37   -32559.143626        0.9131
MDMin:   53 17:39:59   -32560.070237        0.6310
MDMin:   54 17:40:21   -32560.716044        0.1629
MDMin:   55 17:40:44   -32561.654436        0.1679
MDMin:   56 17:41:06   -32563.022167        0.3017
MDMin:   57 17:41:29   -32564.374845        0.7645
MDMin:   58 17:41:50   -32564.982645        0.9702
MDMin:   59 17:42:12   -32565.567187        0.4108
MDMin:   60 17:42:34   -32566.258332        0.4502
MDMin:   61 17:42:56   -32566.896819        0.5244
MDMin:   62 17:43:17   -32567.472247        0.4023
MDMin:   63 17:43:39   -32568.023198        0.3679
MDMin:   64 17:44:00   -32568.611379        0.3943
MDMin:   65 17:44:22   -32569.175423        0.4834
MDMin:   66 17:44:43   -32569.679115        0.4052
MDMin:   67 17:45:05   -32570.145052        0.3380
MDMin:   68 17:45:26   -32570.639025        0.3425
MDMin:   69 17:45:48   -32571.136455        0.4337
MDMin:   70 17:46:10   -32571.579135        0.4095
MDMin:   71 17:46:31   -32571.979274        0.3184
MDMin:   72 17:46:53   -32572.390154        0.2986
MDMin:   73 17:47:14   -32572.824691        0.3801
MDMin:   74 17:47:36   -32573.215776        0.4048
MDMin:   75 17:47:58   -32573.564417        0.3106
MDMin:   76 17:48:20   -32573.904980        0.2646
MDMin:   77 17:48:42   -32574.277588        0.3271
MDMin:   78 17:49:05   -32574.625111        0.3837
MDMin:   79 17:49:28   -32574.930788        0.3151
MDMin:   80 17:49:49   -32575.214786        0.2393
       Step     Time          Energy         fmax
MDMin:    0 17:54:19   -32575.214786        0.2393
MDMin:    1 17:54:41   -32575.330427        0.1164
MDMin:    2 17:55:02   -32575.623167        0.1208
MDMin:    3 17:55:23   -32576.062574        0.1939
MDMin:    4 17:55:48   -32576.481430        0.4674
MDMin:    5 17:56:09   -32576.729139        0.4559
MDMin:    6 17:56:30   -32576.922438        0.1202
MDMin:    7 17:56:52   -32577.191326        0.1500
MDMin:    8 17:57:13   -32577.531462        0.2750
MDMin:    9 17:57:34   -32577.752252        0.4821
MDMin:   10 17:57:55   -32577.980081        0.1096
MDMin:   11 17:58:17   -32578.177039        0.1143
MDMin:   12 17:58:38   -32578.459312        0.1904
MDMin:   13 17:58:59   -32578.694403        0.4052
MDMin:   14 17:59:20   -32578.880344        0.2534
MDMin:   15 17:59:41   -32579.002029        0.0747
MDMin:   16 18:00:02   -32579.185948        0.0829
MDMin:   17 18:00:23   -32579.446891        0.1559
MDMin:   18 18:00:44   -32579.657818        0.3947
MDMin:   19 18:01:06   -32579.813337        0.2529
MDMin:   20 18:01:27   -32579.900721        0.0571
MDMin:   21 18:01:49   -32580.045028        0.0604
MDMin:   22 18:02:11   -32580.257995        0.1064
MDMin:   23 18:02:32   -32580.472168        0.2903
MDMin:   24 18:02:54   -32580.557370        0.3851
MDMin:   25 18:03:16   -32580.659669        0.1522
MDMin:   26 18:03:37   -32580.766567        0.1902
MDMin:   27 18:03:59   -32580.860567        0.1967
MDMin:   28 18:04:20   -32580.945167        0.1364
MDMin:   29 18:04:42   -32581.030796        0.1299
MDMin:   30 18:05:04   -32581.124009        0.1639
MDMin:   31 18:05:25   -32581.207057        0.1872
MDMin:   32 18:05:47   -32581.281102        0.1318
MDMin:   33 18:06:09   -32581.351982        0.1121
MDMin:   34 18:06:30   -32581.431086        0.1367
MDMin:   35 18:06:52   -32581.503819        0.2329
